date,shift,line_id,brand,model_name,planned_qty,actual_qty,defect_qty,downtime_minutes,changeover_minutes,operator_count,machine_id,oee_score
2025-03-03,1,L1,Nike,Dunk Low Textile Upper,213,185,7,2,0,4,SHIMA_03,0.8367
2025-03-03,2,L1,Nike,Pegasus 3D Knit Collar,242,207,11,18,11,7,SHIMA_01,0.8103
2025-03-03,3,L1,Nike,Vaporfly Engineered Mesh,139,127,9,14,0,4,SHIMA_03,0.8492
2025-03-03,1,L2,Nike,Pegasus 3D Knit Collar,205,187,16,7,0,4,SHIMA_04,0.8359
2025-03-03,2,L2,Nike,Pegasus 3D Knit Collar,195,147,16,16,87,5,SHIMA_05,0.672
2025-03-03,3,L2,Nike,ZoomX Carbon Plate Insert,141,122,13,25,0,7,SHIMA_04,0.7739
2025-03-03,1,L3,Nike,Dunk Low Textile Upper,193,125,3,118,0,10,STITCH_01,0.6369
2025-03-03,2,L3,Nike,Pegasus 3D Knit Collar,210,177,5,27,0,12,SOLE_01,0.8217
2025-03-03,3,L3,Nike,Vaporfly Engineered Mesh,140,133,13,3,0,10,SOLE_01,0.8583
2025-03-03,1,L4,Crocs,Classic Clog Strap Assembly,223,133,9,163,0,12,SOLE_02,0.5589
2025-03-03,2,L4,Crocs,Classic Clog Strap Assembly,217,208,12,4,0,11,SOLE_02,0.9033
2025-03-03,3,L4,Crocs,LiteRide Insole Unit,154,127,4,24,0,8,STITCH_04,0.8006
2025-03-03,1,L5,Crocs,Classic Clog Strap Assembly,168,102,2,137,0,11,SOLE_02,0.5963
2025-03-03,2,L5,Crocs,Classic Clog Strap Assembly,163,106,3,83,65,8,STITCH_05,0.637
2025-03-03,3,L5,Decathlon,Quechua Hiking Upper,102,82,8,27,21,11,SOLE_02,0.7341
2025-03-03,1,L6,Decathlon,Kalenji Trail Sole Unit,175,123,3,16,76,10,SHIMA_08,0.6866
2025-03-03,2,L6,Decathlon,Kiprun Carbon Plate,193,160,9,6,0,7,SHIMA_08,0.7845
2025-03-03,3,L6,Decathlon,Kalenji Trail Sole Unit,132,108,4,16,0,6,SHIMA_07,0.7936
2025-03-03,1,L7,Decathlon,Quechua Hiking Upper,148,124,7,18,0,8,SHIMA_09,0.7958
2025-03-03,2,L7,Decathlon,Kalenji Trail Sole Unit,163,143,6,23,0,6,STITCH_07,0.8408
2025-03-03,3,L7,Nike,Pegasus 3D Knit Collar,105,73,5,19,66,8,STITCH_08,0.6548
2025-03-03,1,L8,Crocs,Bayaband Slide Upper,184,181,8,7,0,8,SOLE_03,0.9419
2025-03-03,2,L8,Decathlon,Quechua Hiking Upper,194,139,2,14,67,5,SOLE_03,0.7069
2025-03-03,3,L8,Decathlon,Quechua Hiking Upper,104,97,5,26,0,6,SOLE_03,0.8928
2025-03-04,1,L1,Nike,Dunk Low Textile Upper,245,212,13,8,0,6,SHIMA_01,0.8131
2025-03-04,2,L1,Nike,Pegasus 3D Knit Collar,230,205,16,26,0,4,SHIMA_03,0.8238
2025-03-04,1,L2,Crocs,Classic Clog Strap Assembly,200,112,2,161,15,6,SHIMA_05,0.5509
2025-03-04,2,L2,Nike,Pegasus 3D Knit Collar,186,144,13,9,88,5,SHIMA_06,0.7061
2025-03-04,1,L3,Nike,Dunk Low Textile Upper,176,155,13,8,0,10,STITCH_01,0.8086
2025-03-04,2,L3,Nike,Dunk Low Textile Upper,186,157,8,9,0,12,STITCH_02,0.8016
2025-03-04,1,L4,Crocs,Classic Clog Strap Assembly,195,162,9,4,53,12,STITCH_03,0.7892
2025-03-04,2,L4,Crocs,Bayaband Slide Upper,214,183,3,12,38,11,STITCH_03,0.843
2025-03-04,1,L5,Crocs,LiteRide Insole Unit,173,155,4,2,0,12,STITCH_05,0.8738
2025-03-04,2,L5,Crocs,Classic Clog Strap Assembly,182,164,8,0,0,12,STITCH_06,0.862
2025-03-04,1,L6,Decathlon,Quechua Hiking Upper,143,129,7,19,0,6,SHIMA_07,0.8546
2025-03-04,2,L6,Decathlon,Kalenji Trail Sole Unit,140,106,4,19,31,10,STITCH_07,0.7325
2025-03-04,1,L7,Decathlon,Kalenji Trail Sole Unit,141,116,4,10,49,8,STITCH_08,0.7994
2025-03-04,2,L7,Decathlon,Kalenji Trail Sole Unit,154,147,11,5,0,9,SHIMA_09,0.8848
2025-03-04,1,L8,Decathlon,Kalenji Trail Sole Unit,169,133,9,22,0,6,SOLE_04,0.7364
2025-03-04,2,L8,Nike,Dunk Low Textile Upper,173,154,9,41,0,7,SOLE_03,0.839
2025-03-05,1,L1,Nike,Dunk Low Textile Upper,221,167,6,16,85,5,SHIMA_03,0.7318
2025-03-05,2,L1,Nike,Dunk Low Textile Upper,206,184,12,10,21,6,SHIMA_03,0.8372
2025-03-05,1,L2,Nike,Vaporfly Engineered Mesh,221,129,11,137,56,6,SHIMA_05,0.5346
2025-03-05,2,L2,Nike,ZoomX Carbon Plate Insert,250,209,11,11,0,4,SHIMA_06,0.7928
2025-03-05,1,L3,Nike,ZoomX Carbon Plate Insert,204,166,9,22,0,8,STITCH_01,0.7709
2025-03-05,2,L3,Nike,Pegasus 3D Knit Collar,219,199,19,1,0,10,STITCH_01,0.8227
2025-03-05,1,L4,Crocs,Classic Clog Strap Assembly,236,211,15,13,0,8,STITCH_03,0.8338
2025-03-05,2,L4,Decathlon,Quechua Hiking Upper,234,203,11,5,0,11,STITCH_03,0.8209
2025-03-05,1,L5,Decathlon,Quechua Hiking Upper,211,195,5,9,0,10,SOLE_02,0.901
2025-03-05,2,L5,Decathlon,Kalenji Trail Sole Unit,207,188,5,2,0,8,SOLE_02,0.888
2025-03-05,1,L6,Decathlon,Kalenji Trail Sole Unit,190,180,12,11,0,7,STITCH_07,0.8876
2025-03-05,2,L6,Crocs,Classic Clog Strap Assembly,168,159,8,24,0,10,STITCH_07,0.9022
2025-03-05,1,L7,Decathlon,Kalenji Trail Sole Unit,162,149,5,3,0,6,SHIMA_09,0.8902
2025-03-05,2,L7,Nike,Pegasus 3D Knit Collar,158,146,10,23,0,8,STITCH_08,0.865
2025-03-05,1,L8,Crocs,Bayaband Slide Upper,162,153,8,19,0,6,SOLE_03,0.8969
