date,line_id,brand,model_name,inspector_id,defect_type,severity,action,detection_point,inspection_time_seconds,photo_taken
2026-01-07,L4,Nike,ZoomX Carbon Plate Insert,INS_08,boja odstupa,major,scrap,inline,37,False
2025-12-25,L6,Crocs,Bayaband Slide Upper,INS_06,materijal oštećen,critical,rework,final,45,False
2025-05-06,L6,Decathlon,Kalenji Trail Sole Unit,INS_10,šav neravnomjeran,critical,scrap,inline,41,True
2025-04-28,L1,Nike,Dunk Low Textile Upper,INS_12,3D knit greška,major,scrap,final,52,True
2025-10-08,L4,Nike,ZoomX Carbon Plate Insert,INS_14,šav neravnomjeran,minor,rework,final,52,True
2025-12-01,L6,Decathlon,Kalenji Trail Sole Unit,INS_15,ljepilo vidljivo,minor,pass,final,54,True
2025-08-11,L2,Nike,Pegasus 3D Knit Collar,INS_14,materijal oštećen,major,scrap,inline,41,True
2025-06-11,L1,Nike,Dunk Low Textile Upper,INS_14,ljepilo vidljivo,minor,rework,inline,61,True
2025-03-17,L8,Nike,Dunk Low Textile Upper,INS_15,šav neravnomjeran,major,pass,inline,24,False
2025-11-14,L7,Decathlon,Quechua Hiking Upper,INS_14,šav neravnomjeran,major,rework,inline,20,True
2025-11-28,L3,Nike,ZoomX Carbon Plate Insert,INS_15,materijal oštećen,major,scrap,inline,40,False
2025-08-08,L2,Nike,Dunk Low Textile Upper,INS_14,đon delaminacija,major,scrap,final,64,False
2025-12-12,L4,Crocs,Bayaband Slide Upper,INS_01,boja odstupa,major,rework,inline,58,True
2025-03-28,L2,Nike,ZoomX Carbon Plate Insert,INS_13,đon delaminacija,major,rework,inline,25,False
2025-11-25,L1,Decathlon,Quechua Hiking Upper,INS_09,ljepilo vidljivo,major,scrap,final,44,False
2025-10-03,L8,Nike,Vaporfly Engineered Mesh,INS_15,materijal oštećen,major,rework,customer_return,30,False
2025-09-02,L5,Decathlon,Kalenji Trail Sole Unit,INS_09,materijal oštećen,minor,pass,inline,37,False
2025-06-25,L7,Decathlon,Kiprun Carbon Plate,INS_06,3D knit greška,critical,scrap,inline,53,True
2026-02-26,L5,Crocs,Classic Clog Strap Assembly,INS_05,3D knit greška,major,rework,final,39,False
2025-04-17,L6,Decathlon,Kalenji Trail Sole Unit,INS_12,đon delaminacija,minor,pass,final,40,True
2025-07-10,L1,Nike,Pegasus 3D Knit Collar,INS_12,logo pozicija,minor,pass,final,54,False
2025-04-02,L2,Nike,Vaporfly Engineered Mesh,INS_08,3D knit greška,major,rework,inline,49,False
2025-06-16,L1,Nike,Pegasus 3D Knit Collar,INS_11,logo pozicija,major,pass,inline,62,False
2025-09-15,L2,Nike,Air Max Flyknit Upper,INS_14,3D knit greška,major,pass,final,34,True
2025-05-09,L4,Crocs,Classic Clog Strap Assembly,INS_14,materijal oštećen,minor,pass,inline,39,True
2026-01-01,L7,Decathlon,Kalenji Trail Sole Unit,INS_14,boja odstupa,major,scrap,final,65,True
2026-01-12,L7,Decathlon,Kalenji Trail Sole Unit,INS_05,šav neravnomjeran,minor,pass,final,32,False
2025-10-27,L6,Decathlon,Quechua Hiking Upper,INS_07,ljepilo vidljivo,major,scrap,incoming,31,False
2025-10-16,L1,Nike,Air Max Flyknit Upper,INS_11,šav neravnomjeran,major,rework,final,53,True
2025-09-29,L3,Nike,Pegasus 3D Knit Collar,INS_15,šav neravnomjeran,major,pass,customer_return,53,False
2025-10-08,L4,Crocs,Bayaband Slide Upper,INS_11,boja odstupa,critical,scrap,incoming,28,True
2025-05-09,L8,Nike,Dunk Low Textile Upper,INS_11,logo pozicija,major,pass,final,49,True
2025-06-03,L2,Decathlon,Kalenji Trail Sole Unit,INS_03,3D knit greška,major,rework,final,45,False
2025-12-12,L1,Nike,ZoomX Carbon Plate Insert,INS_05,šav neravnomjeran,major,rework,final,47,True
2025-12-11,L8,Decathlon,Kiprun Carbon Plate,INS_04,3D knit greška,minor,pass,customer_return,40,False
2025-04-01,L4,Crocs,LiteRide Insole Unit,INS_11,ljepilo vidljivo,major,scrap,inline,46,True
