material_id,material_name,category,supplier,country_origin,current_stock,reorder_point,lead_time_days,unit_price_eur,last_order_date,consumption_rate_daily,hs_code
MAT_0001,Flyknit Yarn 2.0 Black,Yarn,Toray Industries,JP,750,568,36,19.16,2026-01-13,90,540233
MAT_0002,Flyknit Yarn 2.0 White,Yarn,Toray Industries,JP,1594,651,39,18.68,2026-02-22,97,540233
MAT_0003,Flyknit Yarn 2.0 Volt,Yarn,Toray Industries,JP,674,501,45,18.75,2026-02-20,67,540233
MAT_0004,EVA Foam Sheet 8mm,Foam,Foam Italia,IT,757,356,16,4.18,2026-01-21,110,391590
MAT_0005,EVA Foam Sheet 12mm,Foam,Foam Italia,IT,79,148,8,5.27,2026-01-26,103,391590
MAT_0006,TPU Film Clear 0.3mm,Film,Covestro AG,DE,92,81,8,9.42,2026-01-14,61,392062
MAT_0007,TPU Film Matte 0.3mm,Film,Covestro AG,DE,87,108,13,9.37,2026-01-13,38,392062
MAT_0008,Polyester Mesh 150D,Textile,Far Eastern Textile,TW,1814,989,41,3.28,2026-02-18,148,600632
MAT_0009,Polyester Mesh 300D,Textile,Far Eastern Textile,TW,914,776,38,3.79,2026-02-08,99,600632
MAT_0010,Rubber Sole Sheet CR,Sole,Gomma Padana,IT,218,156,12,12.16,2026-02-20,73,400599
MAT_0011,Rubber Sole Sheet EVA-RB,Sole,Gomma Padana,IT,466,217,18,14.08,2026-02-02,61,400599
MAT_0012,Carbon Fiber Plate 1.0mm,Composite,Toray Composite,JP,395,189,51,44.49,2026-01-09,18,681510
MAT_0013,PU Adhesive PU-400,Adhesive,Henkel AG,DE,45,66,9,15.52,2026-01-18,34,350691
MAT_0014,Hot Melt HM-200,Adhesive,Henkel AG,DE,163,91,14,22.45,2026-01-12,37,350691
MAT_0015,Flat Laces 120cm,Accessories,Zecchetto Accessori,IT,768,482,13,0.82,2026-01-31,176,560790
MAT_0016,Metal Eyelets 8mm Nickel,Accessories,Global Trim,CN,4772,3435,37,0.12,2026-01-19,539,830890
MAT_0017,NFC Tag NTAG213,Accessories,NXP Semiconductors,NL,1131,724,13,0.45,2026-01-21,282,852352
MAT_0018,Shoe Box 310x210 Kraft,Packaging,Karteks Banja Luka,BA,391,297,4,0.58,2026-02-26,389,481910
MAT_0019,Tissue Paper White 50x75,Packaging,Zhejiang Paper,CN,5958,6685,45,0.08,2026-01-08,747,480300
MAT_0020,Silica Gel 3g Sachet,Packaging,Shenzhen Minghui,CN,14626,8171,44,0.03,2026-02-10,1085,381700
MAT_0021,Nylon Bonded Thread T-70,Thread,American & Efird,US,465,371,40,6.7,2026-01-19,45,540249
MAT_0022,Polyester Core Thread T-60,Thread,Coats Group,GB,84,143,14,5.93,2026-02-26,54,540710
MAT_0023,Thermoplastic Stiffener 1.2mm,Components,Texon International,GB,363,250,18,3.38,2026-02-18,79,392190
MAT_0024,Heel Counter Moulded,Components,Texon International,GB,300,250,15,2.74,2026-02-01,93,640610
MAT_0025,Croslite Pellets Batch,Components,Crocs Inc (supplied),US,220,378,34,8.18,2026-02-06,68,391400
MAT_0026,Flyknit Yarn 2.0 Red,Yarn,Toray Industries,JP,801,429,42,18.36,2026-01-05,62,540233
MAT_0027,Flyknit Yarn 2.0 Blue,Yarn,Toray Industries,JP,819,430,40,18.51,2026-01-13,54,540233
MAT_0028,Round Laces 110cm,Accessories,Zecchetto Accessori,IT,537,234,7,0.9,2026-02-22,163,560790
MAT_0029,Shoe Box 330x230 White,Packaging,Karteks Banja Luka,BA,420,260,4,0.7,2026-02-09,387,481910
MAT_0030,EVA Foam Sheet 6mm,Foam,Foam Italia,IT,198,104,7,3.77,2026-01-14,83,391590
MAT_0031,EVA Foam Sheet 12mm v2,Foam,Foam Italia,IT,85,175,14,4.49,2026-02-12,67,391590
MAT_0032,Flat Laces 120cm Charcoal,Accessories,Zecchetto Accessori,IT,99,131,9,0.77,2026-01-06,78,560790
MAT_0033,Polyester Mesh 300D Narrow,Textile,Far Eastern Textile,TW,319,713,42,3.69,2026-02-14,91,600632
MAT_0034,Shoe Box 330x230 White Lite,Packaging,Karteks Banja Luka,BA,104,73,3,0.81,2026-01-15,131,481910
MAT_0035,Hot Melt HM-200 S,Adhesive,Henkel AG,DE,46,42,12,22.35,2026-01-10,18,350691
MAT_0036,Metal Eyelets 8mm Nickel L,Accessories,Global Trim,CN,2018,2907,30,0.1,2025-12-10,521,830890
MAT_0037,Rubber Sole Sheet CR Eco,Sole,Gomma Padana,IT,101,57,8,13.57,2025-12-25,38,400599
MAT_0038,Polyester Core Thread T-60 Wide,Thread,Coats Group,GB,115,241,21,5.15,2026-02-07,61,540710
MAT_0039,EVA Foam Sheet 12mm Lite,Foam,Foam Italia,IT,222,209,11,5.82,2026-02-09,102,391590
MAT_0040,Shoe Box 330x230 White Eco,Packaging,Karteks Banja Luka,BA,128,172,5,0.74,2025-12-06,185,481910
MAT_0041,Metal Eyelets 8mm Nickel Charcoal,Accessories,Global Trim,CN,7267,3685,36,0.14,2025-12-14,551,830890
MAT_0042,Flyknit Yarn 2.0 Blue Cream,Yarn,Toray Industries,JP,393,220,35,19.19,2025-12-21,33,540233
MAT_0043,PU Adhesive PU-400 Ultra,Adhesive,Henkel AG,DE,63,27,7,17.78,2025-12-05,21,350691
MAT_0044,Polyester Mesh 150D Navy,Textile,Far Eastern Textile,TW,787,475,45,3.65,2026-02-12,56,600632
MAT_0045,Polyester Core Thread T-60 S,Thread,Coats Group,GB,297,122,12,5.56,2026-01-14,54,540710
MAT_0046,Metal Eyelets 8mm Nickel v3,Accessories,Global Trim,CN,2915,1599,34,0.1,2026-02-16,253,830890
MAT_0047,EVA Foam Sheet 6mm M,Foam,Foam Italia,IT,129,158,13,4.15,2025-12-13,65,391590
MAT_0048,Croslite Pellets Batch Wide,Components,Crocs Inc (supplied),US,338,144,31,9.42,2026-02-16,25,391400
MAT_0049,Flyknit Yarn 2.0 Volt Ultra,Yarn,Toray Industries,JP,984,409,41,19.4,2026-01-12,53,540233
MAT_0050,Flat Laces 120cm Slate,Accessories,Zecchetto Accessori,IT,131,190,13,0.91,2025-12-23,79,560790
MAT_0051,PU Adhesive PU-400 Narrow,Adhesive,Henkel AG,DE,151,110,13,16.94,2025-12-18,45,350691
MAT_0052,Silica Gel 3g Sachet Narrow,Packaging,Shenzhen Minghui,CN,12087,5830,30,0.03,2026-01-17,1046,381700
MAT_0053,TPU Film Matte 0.3mm Lite,Film,Covestro AG,DE,148,117,13,9.98,2026-01-05,48,392062
MAT_0054,EVA Foam Sheet 8mm Ultra,Foam,Foam Italia,IT,391,289,12,4.53,2026-01-11,129,391590
MAT_0055,Polyester Mesh 150D Beige,Textile,Far Eastern Textile,TW,674,1249,50,3.56,2026-02-18,134,600632
MAT_0056,Flat Laces 120cm Eco,Accessories,Zecchetto Accessori,IT,120,172,8,0.97,2025-12-08,115,560790
MAT_0057,Round Laces 110cm v3,Accessories,Zecchetto Accessori,IT,77,175,12,0.85,2026-02-17,78,560790
MAT_0058,Polyester Core Thread T-60 M,Thread,Coats Group,GB,184,101,12,5.04,2025-12-18,45,540710
MAT_0059,Carbon Fiber Plate 1.0mm M,Composite,Toray Composite,JP,101,206,51,46.2,2025-12-14,21,681510
MAT_0060,Flat Laces 120cm Cream,Accessories,Zecchetto Accessori,IT,346,272,9,0.8,2026-02-02,162,560790
MAT_0061,Flyknit Yarn 2.0 White Sand,Yarn,Toray Industries,JP,119,235,36,18.81,2025-12-15,35,540233
MAT_0062,PU Adhesive PU-400 Wide,Adhesive,Henkel AG,DE,140,57,7,18.32,2026-01-30,44,350691
MAT_0063,Croslite Pellets Batch HD,Components,Crocs Inc (supplied),US,611,401,36,9.14,2026-02-16,60,391400
MAT_0064,Rubber Sole Sheet CR Ultra,Sole,Gomma Padana,IT,247,142,17,12.65,2026-02-05,45,400599
MAT_0065,Polyester Mesh 150D Olive,Textile,Far Eastern Textile,TW,801,684,42,3.26,2026-02-07,87,600632
MAT_0066,Metal Eyelets 8mm Nickel HD,Accessories,Global Trim,CN,3049,2980,35,0.12,2025-12-19,458,830890
MAT_0067,Shoe Box 330x230 White Narrow,Packaging,Karteks Banja Luka,BA,253,116,3,0.73,2026-01-11,208,481910
MAT_0068,Flat Laces 120cm v3,Accessories,Zecchetto Accessori,IT,518,516,16,0.88,2026-02-12,173,560790
MAT_0069,Thermoplastic Stiffener 1.2mm M,Components,Texon International,GB,530,314,21,3.83,2026-02-16,80,392190
MAT_0070,Silica Gel 3g Sachet XL,Packaging,Shenzhen Minghui,CN,5989,8698,41,0.03,2025-12-04,1142,381700
MAT_0071,Shoe Box 330x230 White Wide,Packaging,Karteks Banja Luka,BA,778,326,5,0.76,2025-12-19,351,481910
MAT_0072,Flyknit Yarn 2.0 Volt Moss,Yarn,Toray Industries,JP,339,447,47,16.78,2026-02-16,51,540233
MAT_0073,NFC Tag NTAG213 Slate,Accessories,NXP Semiconductors,NL,1247,600,14,0.46,2025-12-22,231,852352
MAT_0074,Shoe Box 310x210 Kraft Narrow,Packaging,Karteks Banja Luka,BA,213,120,4,0.54,2026-02-20,162,481910
MAT_0075,Polyester Core Thread T-60 Ultra,Thread,Coats Group,GB,265,116,19,6.29,2025-12-17,33,540710
MAT_0076,Thermoplastic Stiffener 1.2mm v3,Components,Texon International,GB,74,105,13,3.42,2026-02-13,43,392190
MAT_0077,Flyknit Yarn 2.0 Volt XL,Yarn,Toray Industries,JP,732,469,44,18.7,2025-12-05,57,540233
MAT_0078,Shoe Box 330x230 White HD,Packaging,Karteks Banja Luka,BA,316,166,4,0.73,2025-12-02,223,481910
MAT_0079,Flyknit Yarn 2.0 Red L,Yarn,Toray Industries,JP,216,330,37,21.58,2026-01-16,48,540233
MAT_0080,Shoe Box 310x210 Kraft Wide,Packaging,Karteks Banja Luka,BA,214,210,4,0.51,2025-12-16,283,481910
MAT_0081,EVA Foam Sheet 6mm Eco,Foam,Foam Italia,IT,408,200,12,3.63,2026-01-10,90,391590
MAT_0082,Flyknit Yarn 2.0 White Wide,Yarn,Toray Industries,JP,659,264,40,20.8,2026-02-25,35,540233
MAT_0083,Tissue Paper White 50x75 Wide,Packaging,Zhejiang Paper,CN,2365,3378,44,0.07,2025-12-13,413,480300
MAT_0084,Heel Counter Moulded M,Components,Texon International,GB,122,297,20,3.27,2026-02-24,80,640610
MAT_0085,EVA Foam Sheet 12mm Wide,Foam,Foam Italia,IT,290,133,14,5.77,2026-02-06,51,391590
MAT_0086,EVA Foam Sheet 6mm S,Foam,Foam Italia,IT,121,250,16,4.16,2026-01-18,84,391590
MAT_0087,TPU Film Matte 0.3mm Navy,Film,Covestro AG,DE,194,89,11,9.65,2026-01-02,43,392062
MAT_0088,Hot Melt HM-200 Wide,Adhesive,Henkel AG,DE,85,45,13,20.19,2026-01-12,19,350691
MAT_0089,EVA Foam Sheet 6mm XL,Foam,Foam Italia,IT,198,88,7,3.3,2026-02-24,68,391590
MAT_0090,Hot Melt HM-200 L,Adhesive,Henkel AG,DE,58,24,8,19.41,2026-01-06,16,350691
MAT_0091,Hot Melt HM-200 HD,Adhesive,Henkel AG,DE,138,58,11,23.6,2026-02-15,28,350691
MAT_0092,NFC Tag NTAG213 Coral,Accessories,NXP Semiconductors,NL,1520,640,13,0.49,2026-02-13,265,852352
MAT_0093,Nylon Bonded Thread T-70 Ultra,Thread,American & Efird,US,122,125,32,5.8,2026-02-19,21,540249
MAT_0094,Heel Counter Moulded Eco,Components,Texon International,GB,161,189,17,2.78,2025-12-05,60,640610
MAT_0095,Shoe Box 310x210 Kraft Eco,Packaging,Karteks Banja Luka,BA,131,150,3,0.52,2026-01-16,270,481910
MAT_0096,Flyknit Yarn 2.0 Volt Eco,Yarn,Toray Industries,JP,800,452,46,20.82,2026-01-04,52,540233
MAT_0097,Rubber Sole Sheet CR Wide,Sole,Gomma Padana,IT,134,116,13,13.03,2026-01-03,48,400599
MAT_0098,Thermoplastic Stiffener 1.2mm Ultra,Components,Texon International,GB,390,188,18,4.1,2026-01-12,56,392190
MAT_0099,Polyester Mesh 150D Teal,Textile,Far Eastern Textile,TW,252,458,47,3.27,2025-12-12,52,600632
MAT_0100,Flyknit Yarn 2.0 Red S,Yarn,Toray Industries,JP,292,276,45,17.83,2026-02-12,33,540233
MAT_0101,Flyknit Yarn 2.0 White Narrow,Yarn,Toray Industries,JP,739,626,35,20.74,2025-12-26,96,540233
MAT_0102,EVA Foam Sheet 12mm XL,Foam,Foam Italia,IT,376,151,13,4.55,2025-12-04,62,391590
MAT_0103,Carbon Fiber Plate 1.0mm XL,Composite,Toray Composite,JP,66,90,50,38.42,2026-01-12,9,681510
MAT_0104,Polyester Core Thread T-60 L,Thread,Coats Group,GB,352,163,20,6.94,2025-12-18,44,540710
MAT_0105,EVA Foam Sheet 6mm v2,Foam,Foam Italia,IT,192,97,10,3.83,2026-02-20,52,391590
MAT_0106,Flyknit Yarn 2.0 White Lite,Yarn,Toray Industries,JP,783,340,44,16.43,2025-12-06,41,540233
MAT_0107,Flyknit Yarn 2.0 White v3,Yarn,Toray Industries,JP,977,681,55,17.33,2026-01-06,66,540233
MAT_0108,Flyknit Yarn 2.0 Black Charcoal,Yarn,Toray Industries,JP,971,551,40,21.19,2026-01-22,74,540233
MAT_0109,Nylon Bonded Thread T-70 Wide,Thread,American & Efird,US,233,210,36,5.66,2026-01-10,31,540249
MAT_0110,Round Laces 110cm M,Accessories,Zecchetto Accessori,IT,623,427,12,1.01,2026-01-20,192,560790
