po_number,date,supplier,material_id,qty_ordered,qty_received,unit_price,total_eur,expected_delivery,actual_delivery,delay_days,quality_score
PO-01184,2025-03-01,Toray Industries,MAT_0224,1340,1340,16.69,22358.52,2025-04-13,2025-04-13,0,5
PO-01269,2025-03-01,NXP Semiconductors,MAT_0394,4159,4159,0.41,1719.85,2025-03-16,2025-03-16,0,5
PO-00672,2025-03-02,Zecchetto Accessori,MAT_0050,1889,1889,0.93,1749.49,2025-03-15,2025-03-15,0,4
PO-00465,2025-03-02,Gomma Padana,MAT_0011,697,697,14.1,9824.73,2025-03-20,2025-03-21,1,5
PO-00603,2025-03-02,American & Efird,MAT_0124,372,372,7.28,2707.15,2025-04-08,2025-04-08,0,3
PO-01006,2025-03-02,Global Trim,MAT_0326,12513,12513,0.11,1368.81,2025-04-12,2025-04-12,0,3
PO-00201,2025-03-02,Toray Industries,MAT_0317,178,178,18.63,3316.26,2025-04-06,2025-04-06,0,4
PO-01349,2025-03-02,Gomma Padana,MAT_0223,2008,2008,12.41,24922.94,2025-03-16,2025-03-16,0,5
PO-01125,2025-03-02,Global Trim,MAT_0326,6045,6045,0.11,684.8,2025-04-12,2025-04-12,0,4
PO-01543,2025-03-03,Henkel AG,MAT_0088,367,367,20.71,7602.17,2025-03-16,2025-03-16,0,5
PO-01020,2025-03-03,Coats Group,MAT_0045,976,976,5.44,5311.49,2025-03-15,2025-03-15,0,4
PO-01764,2025-03-03,Henkel AG,MAT_0473,349,349,23.16,8083.36,2025-03-13,2025-03-13,0,3
PO-01390,2025-03-03,Global Trim,MAT_0066,6096,6096,0.12,711.37,2025-04-07,2025-04-07,0,3
PO-01898,2025-03-03,Global Trim,MAT_0176,2314,2314,0.12,278.67,2025-04-07,2025-04-07,0,4
PO-00100,2025-03-03,Shenzhen Minghui,MAT_0052,17753,17753,0.03,543.97,2025-04-02,2025-04-02,0,5
PO-00690,2025-03-04,NXP Semiconductors,MAT_0307,2013,2013,0.52,1041.65,2025-03-17,2025-03-17,0,4
PO-00657,2025-03-04,Texon International,MAT_0281,553,553,3.5,1936.97,2025-03-16,2025-03-16,0,1
PO-00344,2025-03-04,Crocs Inc (supplied),MAT_0147,780,780,9.56,7455.7,2025-04-02,2025-04-02,0,4
PO-01097,2025-03-04,Crocs Inc (supplied),MAT_0208,491,491,9.69,4756.72,2025-04-07,2025-04-12,5,3
PO-01915,2025-03-04,American & Efird,MAT_0290,1325,1325,5.84,7741.34,2025-04-05,2025-04-05,0,4
PO-00622,2025-03-04,American & Efird,MAT_0442,719,719,7.3,5251.31,2025-04-01,2025-04-01,0,4
PO-00429,2025-03-04,Karteks Banja Luka,MAT_0373,2919,2919,0.55,1601.16,2025-03-08,2025-03-09,1,5
PO-01354,2025-03-04,Covestro AG,MAT_0328,476,430,11.08,4766.32,2025-03-11,2025-03-12,1,5
PO-01958,2025-03-05,Texon International,MAT_0135,235,235,2.87,674.21,2025-03-20,2025-03-20,0,3
PO-01474,2025-03-05,Global Trim,MAT_0331,15893,15893,0.12,1867.54,2025-04-08,2025-04-08,0,5
PO-00418,2025-03-05,Texon International,MAT_0293,1420,1420,3.0,4263.72,2025-03-26,2025-03-26,0,3
PO-00923,2025-03-05,Toray Composite,MAT_0159,153,153,51.07,7813.25,2025-04-20,2025-04-20,0,3
PO-00662,2025-03-05,Coats Group,MAT_0245,1081,1081,5.1,5515.76,2025-03-20,2025-03-20,0,3
PO-00061,2025-03-06,NXP Semiconductors,MAT_0270,1323,1323,0.41,541.04,2025-03-15,2025-03-15,0,4
PO-00676,2025-03-06,Far Eastern Textile,MAT_0158,4229,4229,3.69,15610.78,2025-04-09,2025-04-09,0,5
PO-00911,2025-03-06,Crocs Inc (supplied),MAT_0318,556,556,7.19,3995.91,2025-04-09,2025-04-09,0,4
PO-00810,2025-03-06,Shenzhen Minghui,MAT_0284,29066,29066,0.03,847.01,2025-04-14,2025-04-14,0,5
PO-00271,2025-03-06,Gomma Padana,MAT_0196,495,495,12.92,6395.5,2025-03-22,2025-03-22,0,4
PO-00122,2025-03-06,Covestro AG,MAT_0006,1822,1822,9.26,16869.83,2025-03-14,2025-03-15,1,4
PO-00772,2025-03-06,Texon International,MAT_0023,2014,2014,3.36,6776.48,2025-03-24,2025-03-24,0,4
PO-01677,2025-03-07,Far Eastern Textile,MAT_0251,968,615,3.88,2384.55,2025-04-10,2025-04-10,0,5
PO-00600,2025-03-07,Crocs Inc (supplied),MAT_0237,2102,2102,8.85,18607.82,2025-04-12,2025-04-12,0,5
PO-01079,2025-03-07,Global Trim,MAT_0455,9874,7298,0.11,823.98,2025-04-19,2025-04-19,0,4
PO-01440,2025-03-07,Global Trim,MAT_0151,2093,2093,0.1,215.0,2025-04-14,2025-04-14,0,4
PO-01995,2025-03-07,Henkel AG,MAT_0035,117,117,22.92,2681.07,2025-03-19,2025-03-19,0,5
PO-00101,2025-03-07,Gomma Padana,MAT_0190,449,449,13.23,5940.34,2025-03-21,2025-03-21,0,4
PO-00087,2025-03-08,Zecchetto Accessori,MAT_0283,985,985,0.91,898.7,2025-03-25,2025-03-25,0,4
PO-00438,2025-03-08,Coats Group,MAT_0075,599,599,6.26,3750.61,2025-03-27,2025-03-27,0,5
PO-00053,2025-03-08,Global Trim,MAT_0392,9537,9537,0.11,1078.15,2025-04-17,2025-04-17,0,5
PO-01845,2025-03-08,Global Trim,MAT_0041,5886,5886,0.14,844.04,2025-04-13,2025-04-13,0,3
PO-01487,2025-03-09,Zecchetto Accessori,MAT_0144,1961,1961,0.89,1739.6,2025-03-22,2025-03-22,0,5
PO-00548,2025-03-09,Coats Group,MAT_0485,1159,1159,6.45,7471.21,2025-03-29,2025-03-29,0,4
PO-00699,2025-03-09,Karteks Banja Luka,MAT_0361,2547,2547,0.69,1766.29,2025-03-13,2025-03-13,0,4
PO-00334,2025-03-09,Toray Industries,MAT_0296,576,576,19.66,11322.73,2025-04-29,2025-05-03,4,4
PO-01192,2025-03-09,Henkel AG,MAT_0051,347,347,16.73,5806.18,2025-03-22,2025-03-23,1,4
PO-01391,2025-03-09,Toray Composite,MAT_0389,236,236,39.25,9263.27,2025-04-20,2025-04-20,0,5
PO-01512,2025-03-10,Toray Composite,MAT_0216,148,148,39.45,5839.03,2025-04-28,2025-04-28,0,4
PO-01462,2025-03-10,Henkel AG,MAT_0035,99,70,22.5,1574.74,2025-03-22,2025-03-22,0,5
PO-00469,2025-03-10,Global Trim,MAT_0331,17147,17147,0.12,2037.55,2025-04-13,2025-04-14,1,4
PO-00572,2025-03-10,Shenzhen Minghui,MAT_0020,26287,26287,0.03,774.23,2025-04-23,2025-04-23,0,5
PO-01365,2025-03-10,Toray Composite,MAT_0295,166,166,38.46,6384.41,2025-04-25,2025-04-25,0,5
PO-00463,2025-03-10,NXP Semiconductors,MAT_0454,2688,2688,0.55,1469.39,2025-03-23,2025-03-23,0,5
PO-01846,2025-03-10,Covestro AG,MAT_0360,872,872,8.35,7277.58,2025-03-22,2025-03-22,0,5
PO-00068,2025-03-10,NXP Semiconductors,MAT_0436,3680,3680,0.5,1842.42,2025-03-24,2025-03-24,0,3
PO-00107,2025-03-11,Foam Italia,MAT_0081,1560,1560,3.58,5586.31,2025-03-23,2025-03-23,0,5
PO-00516,2025-03-11,Crocs Inc (supplied),MAT_0204,877,877,8.67,7605.6,2025-04-08,2025-04-08,0,2
PO-01123,2025-03-11,Crocs Inc (supplied),MAT_0237,999,944,8.92,8418.43,2025-04-16,2025-04-21,5,4
PO-00138,2025-03-11,Gomma Padana,MAT_0196,1686,1686,12.7,21420.57,2025-03-27,2025-03-27,0,5
PO-01724,2025-03-11,Foam Italia,MAT_0340,455,455,3.36,1527.26,2025-03-24,2025-03-25,1,1
PO-00091,2025-03-11,Far Eastern Textile,MAT_0158,3994,3994,3.65,14585.04,2025-04-14,2025-04-14,0,4
PO-01372,2025-03-11,Shenzhen Minghui,MAT_0070,19989,19989,0.03,611.72,2025-04-21,2025-04-21,0,1
PO-01402,2025-03-11,Karteks Banja Luka,MAT_0433,3057,3057,0.71,2164.76,2025-03-15,2025-03-15,0,4
PO-01012,2025-03-11,Coats Group,MAT_0075,941,941,6.11,5751.14,2025-03-30,2025-03-30,0,5
PO-01955,2025-03-11,Gomma Padana,MAT_0379,989,989,14.23,14071.82,2025-03-29,2025-03-29,0,4
PO-00229,2025-03-11,Zecchetto Accessori,MAT_0463,2486,2486,0.99,2449.55,2025-03-23,2025-03-23,0,5
PO-01988,2025-03-12,Crocs Inc (supplied),MAT_0063,669,669,9.38,6272.73,2025-04-17,2025-04-17,0,5
PO-01767,2025-03-12,Crocs Inc (supplied),MAT_0063,732,732,9.24,6761.76,2025-04-17,2025-04-17,0,4
PO-01572,2025-03-13,Shenzhen Minghui,MAT_0020,22075,22075,0.03,643.63,2025-04-26,2025-04-26,0,5
PO-00641,2025-03-13,NXP Semiconductors,MAT_0247,9705,9705,0.52,5020.33,2025-03-29,2025-03-29,0,4
PO-01017,2025-03-13,Karteks Banja Luka,MAT_0074,2522,2522,0.53,1333.24,2025-03-17,2025-03-17,0,4
PO-01011,2025-03-13,Crocs Inc (supplied),MAT_0208,740,740,9.86,7295.17,2025-04-16,2025-04-16,0,4
