date,demand,month,quarter,day_of_week,week_of_year,is_high_season,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,lag_7,lag_14,lag_30,trend,ewm_mean_7
2025-03-09,14812,3,1,6,10,1,14812.0,0.0,14812.0,0.0,14812.0,14812.0,14812.0,14812.0,0,14812.0
2025-03-16,12930,3,1,6,11,1,12930.0,0.0,13871.0,1330.7749621930825,13871.0,14812.0,14812.0,14812.0,1,12930.0
2025-03-23,14483,3,1,6,12,1,14483.0,0.0,13706.5,1098.1368311827082,14075.0,12930.0,14812.0,14812.0,2,14483.0
2025-03-30,13896,3,1,6,13,1,13896.0,0.0,14189.5,415.0716805565034,14030.25,14483.0,12930.0,14812.0,3,13896.0
2025-04-06,17010,4,2,6,14,1,17010.0,0.0,15453.0,2201.930516614909,14579.75,13896.0,14483.0,14812.0,4,17010.0
2025-04-13,16956,4,2,6,15,1,16956.0,0.0,16983.0,38.18376618407357,15586.25,17010.0,13896.0,12930.0,5,16956.0
2025-04-20,17766,4,2,6,16,1,17766.0,0.0,17361.0,572.7564927611035,16407.0,16956.0,17010.0,14483.0,6,17766.0
2025-04-27,16122,4,2,6,17,1,16122.0,0.0,16944.0,1162.4835482706842,16963.5,17766.0,16956.0,13896.0,7,16122.0
2025-05-04,17796,5,2,6,18,1,17796.0,0.0,16959.0,1183.6967517062806,17160.0,16122.0,17766.0,17010.0,8,17796.0
2025-05-11,19336,5,2,6,19,1,19336.0,0.0,18566.0,1088.9444430272831,17755.0,17796.0,16122.0,16956.0,9,19336.0
2025-05-18,18492,5,2,6,20,1,18492.0,0.0,18914.0,596.7981233214462,17936.5,19336.0,17796.0,17766.0,10,18492.0
2025-05-25,18076,5,2,6,21,1,18076.0,0.0,18284.0,294.15642097360376,18425.0,18492.0,19336.0,16122.0,11,18076.0
2025-06-01,15760,6,2,6,22,1,15760.0,0.0,16918.0,1637.659305228044,17916.0,18076.0,18492.0,17796.0,12,15760.0
2025-06-08,16082,6,2,6,23,1,16082.0,0.0,15921.0,227.6883835420683,17102.5,15760.0,18076.0,19336.0,13,16082.0
2025-06-15,17051,6,2,6,24,1,17051.0,0.0,16566.5,685.1864709697645,16742.25,16082.0,15760.0,18492.0,14,17051.0
2025-06-22,15678,6,2,6,25,1,15678.0,0.0,16364.5,970.8576105691297,16142.75,17051.0,16082.0,18076.0,15,15678.0
2025-06-29,14990,6,2,6,26,1,14990.0,0.0,15334.0,486.4894654563447,15950.25,15678.0,17051.0,15760.0,16,14990.0
2025-07-06,11176,7,3,6,27,0,11176.0,0.0,13083.0,2696.9052634454924,14723.75,14990.0,15678.0,16082.0,17,11176.0
2025-07-13,9863,7,3,6,28,0,9863.0,0.0,10519.5,928.4312036979369,12926.75,11176.0,14990.0,17051.0,18,9863.0
2025-07-20,9449,7,3,6,29,0,9449.0,0.0,9656.0,292.74220741123065,11369.5,9863.0,11176.0,15678.0,19,9449.0
2025-07-27,10831,7,3,6,30,0,10831.0,0.0,10140.0,977.2215715998087,10329.75,9449.0,9863.0,14990.0,20,10831.0
2025-08-03,10226,8,3,6,31,0,10226.0,0.0,10528.5,427.79960261786124,10092.25,10831.0,9449.0,11176.0,21,10226.0
2025-08-10,10052,8,3,6,32,0,10052.0,0.0,10139.0,123.03657992645927,10139.5,10226.0,10831.0,9863.0,22,10052.0
2025-08-17,10292,8,3,6,33,0,10292.0,0.0,10172.0,169.7056274847714,10350.25,10052.0,10226.0,9449.0,23,10292.0
2025-08-24,10895,8,3,6,34,0,10895.0,0.0,10593.5,426.38538905548813,10366.25,10292.0,10052.0,10831.0,24,10895.0
2025-08-31,9932,8,3,6,35,0,9932.0,0.0,10413.5,680.9438302826453,10292.75,10895.0,10292.0,10226.0,25,9932.0
2025-09-07,15458,9,3,6,36,1,15458.0,0.0,12695.0,3907.4720728368616,11644.25,9932.0,10895.0,10052.0,26,15458.0
2025-09-14,17081,9,3,6,37,1,17081.0,0.0,16269.5,1147.6343058657667,13341.5,15458.0,9932.0,10292.0,27,17081.0
2025-09-21,15805,9,3,6,38,1,15805.0,0.0,16443.0,902.2682527940347,14569.0,17081.0,15458.0,10895.0,28,15805.0
2025-09-28,15409,9,3,6,39,1,15409.0,0.0,15607.0,280.0142853498728,15938.25,15805.0,17081.0,9932.0,29,15409.0
2025-10-05,17097,10,4,6,40,1,17097.0,0.0,16253.0,1193.5962466428923,16348.0,15409.0,15805.0,15458.0,30,17097.0
2025-10-12,18199,10,4,6,41,1,18199.0,0.0,17648.0,779.2316728675754,16627.5,17097.0,15409.0,17081.0,31,18199.0
2025-10-19,17464,10,4,6,42,1,17464.0,0.0,17831.5,519.7234841721124,17042.25,18199.0,17097.0,15805.0,32,17464.0
2025-10-26,16658,10,4,6,43,1,16658.0,0.0,17061.0,569.9280656363574,17354.5,17464.0,18199.0,15409.0,33,16658.0
2025-11-02,16648,11,4,6,44,1,16648.0,0.0,16653.0,7.0710678118654755,17242.25,16658.0,17464.0,17097.0,34,16648.0
2025-11-09,16158,11,4,6,45,1,16158.0,0.0,16403.0,346.4823227814083,16732.0,16648.0,16658.0,18199.0,35,16158.0
2025-11-16,17844,11,4,6,46,1,17844.0,0.0,17001.0,1192.1820330805192,16827.0,16158.0,16648.0,17464.0,36,17844.0
2025-11-23,16401,11,4,6,47,1,16401.0,0.0,17122.5,1020.3550852521881,16762.75,17844.0,16158.0,16658.0,37,16401.0
2025-11-30,16792,11,4,6,48,1,16792.0,0.0,16596.5,276.4787514439401,16798.75,16401.0,17844.0,16648.0,38,16792.0
2025-12-07,10812,12,4,6,49,0,10812.0,0.0,13802.0,4228.498551495554,15462.25,16792.0,16401.0,16158.0,39,10812.0
2025-12-14,10094,12,4,6,50,0,10094.0,0.0,10453.0,507.70266889194113,13524.75,10812.0,16792.0,17844.0,40,10094.0
2025-12-21,10858,12,4,6,51,0,10858.0,0.0,10476.0,540.2295808265224,12139.0,10094.0,10812.0,16401.0,41,10858.0
2025-12-28,9142,12,4,6,52,0,9142.0,0.0,10000.0,1213.3952365161156,10226.5,10858.0,10094.0,16792.0,42,9142.0
2026-01-04,10873,1,1,6,1,0,10873.0,0.0,10007.5,1224.0018382339138,10241.75,9142.0,10858.0,10812.0,43,10873.0
2026-01-11,10276,1,1,6,2,0,10276.0,0.0,10574.5,422.14274836836887,10287.25,10873.0,9142.0,10094.0,44,10276.0
2026-01-18,10631,1,1,6,3,0,10631.0,0.0,10453.5,251.02290732122438,10230.5,10276.0,10873.0,10858.0,45,10631.0
2026-01-25,11153,1,1,6,4,0,11153.0,0.0,10892.0,369.10973977937783,10733.25,10631.0,10276.0,9142.0,46,11153.0
2026-02-01,10124,2,1,6,5,0,10124.0,0.0,10638.5,727.6128778409574,10546.0,11153.0,10631.0,10873.0,47,10124.0
2026-02-08,12661,2,1,6,6,0,12661.0,0.0,11392.5,1793.9299038702711,11142.25,10124.0,11153.0,10276.0,48,12661.0
2026-02-15,11360,2,1,6,7,0,11360.0,0.0,12010.5,919.9459223236984,11324.5,12661.0,10124.0,10631.0,49,11360.0
2026-02-22,14065,2,1,6,8,0,14065.0,0.0,12712.5,1912.7238431096112,12052.5,11360.0,12661.0,11153.0,50,14065.0
