date,demand
2025-03-09,14812
2025-03-16,12930
2025-03-23,14483
2025-03-30,13896
2025-04-06,17010
2025-04-13,16956
2025-04-20,17766
2025-04-27,16122
2025-05-04,17796
2025-05-11,19336
2025-05-18,18492
2025-05-25,18076
2025-06-01,15760
2025-06-08,16082
2025-06-15,17051
2025-06-22,15678
2025-06-29,14990
2025-07-06,11176
2025-07-13,9863
2025-07-20,9449
2025-07-27,10831
2025-08-03,10226
2025-08-10,10052
2025-08-17,10292
2025-08-24,10895
2025-08-31,9932
2025-09-07,15458
2025-09-14,17081
2025-09-21,15805
2025-09-28,15409
2025-10-05,17097
2025-10-12,18199
2025-10-19,17464
2025-10-26,16658
2025-11-02,16648
2025-11-09,16158
2025-11-16,17844
2025-11-23,16401
2025-11-30,16792
2025-12-07,10812
2025-12-14,10094
2025-12-21,10858
2025-12-28,9142
2026-01-04,10873
2026-01-11,10276
2026-01-18,10631
2026-01-25,11153
2026-02-01,10124
2026-02-08,12661
2026-02-15,11360
2026-02-22,14065
2026-03-01,13685
