date,Crocs,Decathlon,Nike
2025-03-09,4300,3920,6592
2025-03-16,3409,3033,6488
2025-03-23,4618,3310,6555
2025-03-30,3918,3370,6608
2025-04-06,5720,3279,8011
2025-04-13,5386,4104,7466
2025-04-20,5212,4735,7819
2025-04-27,5376,4834,5912
2025-05-04,6249,4354,7193
2025-05-11,4640,4686,10010
2025-05-18,5956,4824,7712
2025-05-25,6714,3698,7664
2025-06-01,4914,4528,6318
2025-06-08,5534,3815,6733
2025-06-15,5170,4634,7247
2025-06-22,4515,4337,6826
2025-06-29,4775,3910,6305
2025-07-06,4377,2391,4408
2025-07-13,2831,2369,4663
2025-07-20,2817,2154,4478
2025-07-27,3242,2995,4594
2025-08-03,3433,2787,4006
2025-08-10,3134,2859,4059
2025-08-17,3694,2354,4244
2025-08-24,3550,2310,5035
2025-08-31,3651,1834,4447
2025-09-07,5162,3148,7148
2025-09-14,6135,3803,7143
2025-09-21,4608,3956,7241
2025-09-28,5487,3208,6714
2025-10-05,6120,3599,7378
2025-10-12,4857,4739,8603
2025-10-19,4367,4850,8247
2025-10-26,3854,4558,8246
2025-11-02,5371,3876,7401
2025-11-09,4154,4232,7772
2025-11-16,4956,4072,8816
2025-11-23,4186,3602,8613
2025-11-30,4334,4881,7577
2025-12-07,3318,2537,4957
2025-12-14,3058,2062,4974
2025-12-21,2986,3026,4846
2025-12-28,3636,2226,3280
2026-01-04,3175,2557,5141
2026-01-11,3425,3178,3673
2026-01-18,2667,3066,4898
2026-01-25,3088,3455,4610
2026-02-01,2880,2398,4846
2026-02-08,4495,2440,5726
2026-02-15,2840,2987,5533
2026-02-22,3753,3795,6517
2026-03-01,5233,2838,5614
